GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
automagic,com.baloise.automagic.common.internal,JenkinsProxySelector,66,0,0,0,3,0,4,0,4,0
automagic,com.baloise.automagic.common,Automagic,14,7,0,0,0,0,1,1,1,1
automagic,com.baloise.automagic.common,Registry,126,228,5,1,6,9,8,4,5,4
automagic,com.baloise.automagic.common,Registered,26,25,1,1,0,0,4,3,3,3
automagic,com.baloise.automagic.properties.internal,PropertyStoreImpl._put_closure1,41,0,0,0,1,0,3,0,3,0
automagic,com.baloise.automagic.properties.internal,PropertyImpl,41,5,0,0,1,0,1,1,1,1
automagic,com.baloise.automagic.properties.internal,PropertyStoreImpl,247,53,6,0,14,2,15,1,12,1
automagic,com.baloise.automagic.credentials.internal,CredentialsImpl._getUsernamePassword_closure1,48,0,0,0,1,0,4,0,4,0
automagic,com.baloise.automagic.credentials.internal,CredentialsImpl,86,5,2,0,3,0,2,1,1,1
automagic,com.baloise.automagic.demo.internal,GreetingImpl,12,70,2,4,0,2,2,4,0,3
automagic,com.baloise.automagic.git.internal,GitImpl,74,765,5,9,1,41,5,9,0,7
